model,seed,alpha,shield,kappa,v_scale,mean_drift,baseline_nll,n_prompts,elapsed_s,bank_col_sum_p99,bank_col_sum_p50,bank_col_sum_mean,attn_entropy_bank_mean,attn_entropy_native_mean,m_perp_energy_ratio_mean,residual_norm_p50,residual_norm_p99
Qwen/Qwen2.5-1.5B,0,4.0,True,2.0,True,3.5079341808954876,2.876961366335551,30,32.38,418.6611972045897,22.353679656982422,49.94571304321289,2.092712640762329,2.5488431453704834,0.0,46.03248596191406,410.5284960937503
Qwen/Qwen2.5-1.5B,0,4.0,True,4.0,True,4.272092048327128,2.876961366335551,30,32.37,420.94577362060517,21.93010139465332,50.02286148071289,2.08150053024292,2.526651382446289,0.0,46.5743293762207,378.3409494018555
Qwen/Qwen2.5-1.5B,0,8.0,False,1.0,False,10.029091890652975,2.876961366335551,30,32.41,338.80374877929677,15.376918315887451,38.33522033691406,2.059419870376587,3.530526876449585,0.0,513.5343627929688,793.2302593994142
Qwen/Qwen2.5-1.5B,0,8.0,True,1.0,False,5.287960584958395,2.876961366335551,30,32.46,435.77570861816275,21.783523559570312,51.75949478149414,2.0326061248779297,2.5093398094177246,0.0,48.39431381225586,407.75786407470713
Qwen/Qwen2.5-1.5B,0,8.0,True,2.0,False,7.256605871518453,2.876961366335551,30,32.43,482.66330505370985,22.18422508239746,54.500789642333984,1.98417329788208,2.406642436981201,0.0,52.22994804382324,352.0172702026368
Qwen/Qwen2.5-1.5B,0,8.0,True,4.0,False,9.54580458799998,2.876961366335551,30,32.5,502.71540710449113,23.724580764770508,58.5465202331543,1.9491591453552246,2.2505815029144287,0.0,64.98718643188477,332.76190643310554
Qwen/Qwen2.5-1.5B,0,8.0,False,1.0,True,11.890824182828267,2.876961366335551,30,32.26,436.02937774658176,16.90646743774414,46.39345169067383,1.9986917972564697,3.2335972785949707,0.0,192.39815521240234,349.7328952026367
Qwen/Qwen2.5-1.5B,0,8.0,True,1.0,True,3.9462920427322388,2.876961366335551,30,32.34,419.62264404296866,22.17781352996826,50.49239730834961,2.070352077484131,2.519357919692993,0.0,46.77264213562012,443.04157745361334
Qwen/Qwen2.5-1.5B,0,8.0,True,2.0,True,4.858164493242899,2.876961366335551,30,31.51,428.0816549682617,21.67596435546875,50.98950958251953,2.052821159362793,2.506070852279663,0.0,47.65286636352539,393.6346374511719
Qwen/Qwen2.5-1.5B,0,8.0,True,4.0,True,6.385993472735087,2.876961366335551,30,31.63,441.9858081054674,22.01225757598877,52.81037902832031,2.017514944076538,2.428896903991699,0.0,49.885108947753906,347.7662133789063
Qwen/Qwen2.5-1.5B,0,16.0,False,1.0,False,12.215804759661356,2.876961366335551,30,30.1,302.5464739990234,12.715073108673096,32.82321548461914,2.0731430053710938,3.6446332931518555,0.0,964.9377746582031,1416.9483996582032
Qwen/Qwen2.5-1.5B,0,16.0,True,1.0,False,7.949046874046326,2.876961366335551,30,32.4,478.95537292480236,22.658052444458008,55.41098403930664,1.979408860206604,2.3115129470825195,0.0,54.86458396911621,366.4867581176759
Qwen/Qwen2.5-1.5B,0,16.0,True,2.0,False,10.271669125556945,2.876961366335551,30,31.98,492.3489425659171,24.364296913146973,58.98487854003906,1.9415065050125122,2.2253503799438477,0.0,77.13834381103516,363.70497863769555
Qwen/Qwen2.5-1.5B,0,16.0,True,4.0,False,10.256562415758768,2.876961366335551,30,31.49,433.7603042602535,25.3724308013916,55.43693161010742,1.9805608987808228,2.523406505584717,0.0,150.82489776611328,470.93148223876966
Qwen/Qwen2.5-1.5B,0,16.0,False,1.0,True,9.963904372851054,2.876961366335551,30,30.65,340.66537719726557,14.955137729644775,38.199222564697266,2.0505592823028564,3.528452157974243,0.0,501.4461669921875,782.8207598876953
Qwen/Qwen2.5-1.5B,0,16.0,True,1.0,True,5.259839320182801,2.876961366335551,30,30.53,431.697487182615,21.751776695251465,51.5899658203125,2.0332865715026855,2.5048089027404785,0.0,48.2379093170166,422.2988113403322
Qwen/Qwen2.5-1.5B,0,16.0,True,2.0,True,7.356968919436137,2.876961366335551,30,32.33,480.2881582641558,22.147536277770996,54.47541809082031,1.9858887195587158,2.3838460445404053,0.0,52.17756271362305,354.0022839355471
Qwen/Qwen2.5-1.5B,0,16.0,True,4.0,True,9.659974884986877,2.876961366335551,30,31.9,504.10573699951084,23.851032257080078,58.64519119262695,1.948793888092041,2.2455193996429443,0.0,65.00143432617188,333.89370269775395
